,Mun,UF,Atingido_Alagamentos,Atingido_Des,Atingido_Enchente,Atingido_Enxurrada,Nao_ATV_P&DC,Nao_Instr_Inundacao,Nao_Medida_Estrutural_RRD,Nao_RR_Seca,Nao_Red_Des,Nao_Red_Enchente,Nao_Red_Enxurrada,Tem_Instr_Deslizamento,Tem_Red_Des
1272,Boa Vista,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1273,Bom Jesus,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1274,Bom Sucesso,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1275,Bonito de Santa Fé,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1276,Boqueirão,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1277,Igaracy,PB,0,0,1,1,0,1,0,0,0,1,1,0,0
1278,Borborema,PB,1,0,0,0,0,1,0,0,0,0,0,0,0
1279,Brejo do Cruz,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1280,Brejo dos Santos,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1281,Caaporã,PB,0,0,0,0,1,0,0,0,0,0,0,0,0
1282,Cabaceiras,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1283,Cabedelo,PB,1,0,1,0,0,0,0,0,0,0,0,0,0
1284,Cachoeira dos Índios,PB,1,0,1,0,0,0,0,0,0,0,0,1,0
1285,Cacimba de Areia,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1286,Cacimba de Dentro,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1287,Cacimbas,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1288,Caiçara,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1289,Cajazeiras,PB,1,1,0,0,0,0,0,0,0,0,0,1,1
1290,Cajazeirinhas,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1291,Caldas Brandão,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1292,Camalaú,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1293,Campina Grande,PB,1,0,0,1,0,0,0,0,0,0,0,1,1
1294,Capim,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1295,Caraúbas,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1296,Carrapateira,PB,0,0,0,0,0,1,1,0,0,0,0,0,0
1297,Casserengue,PB,0,0,0,0,1,1,1,0,0,0,0,0,0
1298,Catingueira,PB,1,0,1,1,0,1,0,0,0,0,0,0,0
1299,Catolé do Rocha,PB,0,0,0,0,0,0,0,0,0,0,0,1,0
1300,Caturité,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1301,Conceição,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1302,Condado,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1303,Conde,PB,0,0,0,1,0,0,0,0,0,0,0,1,1
1304,Congo,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1305,Coremas,PB,0,0,0,0,1,1,0,0,0,0,0,1,1
1306,Coxixola,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1307,Cruz do Espírito Santo,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1308,Cubati,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1309,Cuité,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1310,Cuitegi,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1311,Cuité de Mamanguape,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1312,Curral de Cima,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1313,Curral Velho,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1314,Damião,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1315,Desterro,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1316,Vista Serrana,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1317,Diamante,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1318,Dona Inês,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1319,Duas Estradas,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1320,Emas,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1321,Esperança,PB,1,0,1,0,0,0,0,0,0,0,0,0,0
1322,Fagundes,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1323,Frei Martinho,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1324,Gado Bravo,PB,0,0,0,0,0,1,1,0,0,0,0,0,0
1325,Guarabira,PB,1,0,1,0,0,0,0,0,0,0,0,1,1
1326,Gurinhém,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1327,Gurjão,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1328,Ibiara,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1329,Imaculada,PB,0,0,0,0,0,1,0,0,0,0,0,1,1
1330,Ingá,PB,0,1,1,0,0,0,0,0,1,0,0,1,1
1331,Itabaiana,PB,0,1,0,1,0,0,0,0,0,0,0,1,1
1332,Itaporanga,PB,1,0,1,1,0,0,0,0,0,0,0,1,1
1333,Itapororoca,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1334,Itatuba,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1335,Jacaraú,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1336,Jericó,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1337,João Pessoa,PB,1,1,1,1,0,0,0,0,0,0,0,1,1
1338,Juarez Távora,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1339,Juazeirinho,PB,0,0,0,0,0,1,0,0,0,0,0,1,0
1340,Junco do Seridó,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1341,Juripiranga,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1342,Juru,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1343,Lagoa,PB,0,1,0,0,0,1,0,0,0,0,0,0,1
1344,Lagoa de Dentro,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1345,Lagoa Seca,PB,0,0,0,0,0,0,0,0,0,0,0,1,0
1346,Lastro,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1347,Livramento,PB,0,0,0,0,0,1,0,0,0,0,0,1,1
1348,Logradouro,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1349,Lucena,PB,0,0,0,0,0,1,0,0,0,0,0,1,1
1350,Mãe dÁgua,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1351,Malta,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1352,Mamanguape,PB,0,1,0,0,0,0,0,0,0,0,0,1,1
1353,Manaíra,PB,0,0,1,0,0,1,0,0,0,0,0,0,0
1354,Marcação,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1355,Mari,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1356,Marizópolis,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1357,Massaranduba,PB,1,0,0,0,0,0,0,0,0,0,0,1,1
1358,Mataraca,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1359,Matinhas,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1360,Mato Grosso,PB,0,0,1,1,0,1,0,0,0,1,1,0,0
1361,Maturéia,PB,0,0,0,0,0,0,0,0,0,0,0,0,0
1362,Mogeiro,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1363,Montadas,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1364,Monte Horebe,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1365,Monteiro,PB,0,0,0,0,1,0,0,0,0,0,0,1,1
1366,Mulungu,PB,0,0,0,0,0,0,0,0,0,0,0,0,0
1367,Natuba,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1368,Nazarezinho,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1369,Nova Floresta,PB,1,0,0,0,0,1,0,0,0,0,0,0,0
1370,Nova Olinda,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1371,Nova Palmeira,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1372,Olho dÁgua,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1373,Olivedos,PB,0,0,0,0,1,1,1,0,0,0,0,0,0
1374,Ouro Velho,PB,0,0,0,0,0,1,1,0,0,0,0,0,0
1375,Parari,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1376,Passagem,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1377,Patos,PB,1,0,0,1,1,0,1,0,0,0,0,0,0
1378,Paulista,PB,0,0,1,0,0,0,0,0,0,0,0,0,0
1379,Pedra Branca,PB,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,Pedra Lavrada,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1381,Pedras de Fogo,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1382,Piancó,PB,0,0,0,0,0,1,1,0,0,0,0,0,0
1383,Picuí,PB,0,0,0,0,1,0,1,0,0,0,0,1,1
1384,Pilar,PB,0,0,0,0,0,1,0,0,0,0,0,1,0
1385,Pilões,PB,0,0,0,0,0,1,0,0,0,0,0,1,1
1386,Pilõezinhos,PB,0,0,0,0,0,0,0,0,0,0,0,0,0
1387,Pirpirituba,PB,1,0,0,1,0,0,0,0,0,0,0,0,0
1388,Pitimbu,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1389,Pocinhos,PB,1,0,1,1,0,1,0,0,0,0,0,0,0
1390,Poço Dantas,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1391,Poço de José de Moura,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1392,Pombal,PB,1,0,1,1,0,0,0,0,0,1,1,1,1
1393,Prata,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1394,Princesa Isabel,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1395,Puxinanã,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1396,Queimadas,PB,1,0,0,0,0,0,0,0,0,0,0,1,1
1397,Quixaba,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1398,Remígio,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1399,Pedro Régis,PB,0,0,0,0,0,1,0,0,0,0,0,1,1
1400,Riachão,PB,0,0,0,0,0,1,1,0,0,0,0,0,0
1401,Riachão do Bacamarte,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1402,Riachão do Poço,PB,0,0,0,0,0,1,0,0,0,0,0,1,1
1403,Riacho de Santo Antônio,PB,1,0,1,1,0,1,0,0,0,0,0,0,0
1404,Riacho dos Cavalos,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1405,Rio Tinto,PB,0,0,0,0,0,1,0,0,0,0,0,1,1
1406,Salgadinho,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1407,Salgado de São Félix,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1408,Santa Cecília,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1409,Santa Cruz,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1410,Santa Helena,PB,0,0,0,0,0,0,0,0,0,0,0,0,0
1411,Santa Inês,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1412,Santa Luzia,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1413,Santana de Mangueira,PB,0,0,1,1,0,1,0,0,0,0,0,0,0
1414,Santana dos Garrotes,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1415,Joca Claudino,PB,0,0,0,0,0,0,0,0,0,0,0,1,0
1416,Santa Rita,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1417,Santa Teresinha,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1418,Santo André,PB,1,0,1,1,1,1,1,0,0,1,1,0,0
1419,São Bento,PB,0,0,0,0,0,1,1,0,0,0,0,0,0
1420,São Bentinho,PB,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,São Domingos do Cariri,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1422,São Domingos,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1423,São Francisco,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1424,São João do Cariri,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1425,São João do Tigre,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1426,São José da Lagoa Tapada,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1427,São José de Caiana,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1428,São José de Espinharas,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1429,São José dos Ramos,PB,0,0,0,0,1,0,0,0,0,0,0,0,0
1430,São José de Piranhas,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1431,São José de Princesa,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1432,São José do Bonfim,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1433,São José do Brejo do Cruz,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1434,São José do Sabugi,PB,0,0,0,0,0,0,0,0,0,0,0,0,0
1435,São José dos Cordeiros,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1436,São Mamede,PB,0,0,0,0,0,0,0,0,0,0,0,1,0
1437,São Miguel de Taipu,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1438,São Sebastião de Lagoa de Roça,PB,0,0,0,0,0,0,0,0,0,0,0,0,0
1439,São Sebastião do Umbuzeiro,PB,0,0,0,1,0,0,0,0,0,0,0,0,0
1440,Sapé,PB,0,0,0,0,0,0,0,0,0,0,0,1,0
1441,São Vicente do Seridó,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1442,Serra Branca,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1443,Serra da Raiz,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1444,Serra Grande,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1445,Serra Redonda,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1446,Serraria,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1447,Sertãozinho,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1448,Sobrado,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1449,Solânea,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1450,Soledade,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1451,Sossêgo,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1452,Sousa,PB,1,0,0,0,0,0,0,0,0,0,0,1,1
1453,Sumé,PB,0,0,0,0,0,0,0,0,0,0,0,1,1
1454,Tacima,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1455,Taperoá,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1456,Tavares,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1457,Teixeira,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1458,Tenório,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1459,Triunfo,PB,0,0,0,0,0,1,0,0,0,0,0,1,1
1460,Uiraúna,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1461,Umbuzeiro,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1462,Várzea,PB,0,0,0,0,0,1,0,0,0,0,0,0,0
1463,Vieirópolis,PB,0,0,0,0,1,1,0,0,0,0,0,0,0
1464,Zabelê,PB,0,0,1,1,0,0,0,0,0,0,0,1,1
1465,Abreu e Lima,PE,1,1,1,0,0,0,0,0,0,0,0,1,1
1466,Afogados da Ingazeira,PE,1,0,1,1,0,0,0,0,0,0,0,0,0
1467,Afrânio,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1468,Agrestina,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1469,Água Preta,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1470,Águas Belas,PE,1,0,1,0,0,0,0,0,0,0,0,1,1
1471,Alagoinha,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1472,Aliança,PE,0,0,1,0,1,0,0,0,0,0,0,1,0
1473,Altinho,PE,0,0,0,0,0,0,0,0,0,0,0,0,0
1474,Amaraji,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1475,Angelim,PE,1,0,1,1,1,0,1,0,0,0,0,1,1
1476,Araçoiaba,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1477,Araripina,PE,1,0,1,1,0,0,0,0,0,0,0,1,1
1478,Arcoverde,PE,0,0,0,1,0,1,0,0,0,0,1,0,0
1479,Barra de Guabiraba,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1480,Barreiros,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1481,Belém de Maria,PE,1,1,1,1,0,0,0,0,1,0,0,1,1
1482,Belém do São Francisco,PE,0,0,0,0,1,0,0,0,0,0,0,0,0
1483,Belo Jardim,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1484,Betânia,PE,1,0,1,0,0,1,0,0,0,0,0,1,0
1485,Bezerros,PE,1,0,0,1,0,0,0,0,0,0,0,1,1
1486,Bodocó,PE,1,0,1,1,0,0,0,0,0,1,0,0,0
1487,Bom Conselho,PE,0,0,0,0,0,0,0,0,0,0,0,1,0
1488,Bom Jardim,PE,1,0,1,1,0,1,0,0,0,0,0,0,0
1489,Bonito,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1490,Brejão,PE,1,1,0,0,0,0,0,0,0,0,0,1,1
1491,Brejinho,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1492,Brejo da Madre de Deus,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1493,Buenos Aires,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1494,Buíque,PE,0,0,0,0,0,0,0,0,0,0,0,0,0
1495,Cabo de Santo Agostinho,PE,0,1,0,0,0,0,0,0,0,0,0,1,1
1496,Cabrobó,PE,0,0,0,0,0,0,0,0,0,0,0,0,0
1497,Cachoeirinha,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1498,Caetés,PE,0,0,0,0,0,1,1,0,0,0,0,0,0
1499,Calçado,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1500,Calumbi,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1501,Camaragibe,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1502,Camocim de São Félix,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1503,Camutanga,PE,1,0,1,0,0,1,0,0,0,0,0,0,0
1504,Canhotinho,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1505,Capoeiras,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1506,Carnaíba,PE,1,0,1,1,0,0,0,0,0,1,0,0,0
1507,Carnaubeira da Penha,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1508,Carpina,PE,1,1,0,0,0,0,0,0,0,0,0,1,1
1509,Caruaru,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1510,Casinhas,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1511,Catende,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1512,Cedro,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1513,Chã de Alegria,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1514,Chã Grande,PE,0,1,0,0,0,0,0,0,0,0,0,1,1
1515,Condado,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1516,Correntes,PE,1,0,1,0,0,0,0,0,0,0,0,0,0
1517,Cortês,PE,0,1,1,1,0,0,0,0,0,0,0,1,1
1518,Cumaru,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1519,Cupira,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1520,Custódia,PE,0,0,0,0,0,1,1,0,0,0,0,0,0
1521,Dormentes,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1522,Escada,PE,1,1,1,1,0,0,0,0,0,1,1,1,1
1523,Exu,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1524,Feira Nova,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1525,Fernando de Noronha,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1526,Ferreiros,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1527,Flores,PE,1,0,1,0,0,0,0,0,0,0,0,0,0
1528,Floresta,PE,1,0,1,0,0,0,0,0,0,0,0,0,0
1529,Frei Miguelinho,PE,0,0,0,0,0,0,0,0,0,0,0,0,0
1530,Gameleira,PE,1,0,1,0,0,0,0,0,0,1,0,1,1
1531,Garanhuns,PE,0,1,0,1,0,0,0,0,0,0,0,1,1
1532,Glória do Goitá,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1533,Goiana,PE,1,0,1,1,0,0,0,0,0,0,0,1,1
1534,Granito,PE,0,0,1,0,0,1,0,0,0,0,0,0,0
1535,Gravatá,PE,1,0,1,0,0,0,0,0,0,0,0,1,1
1536,Iati,PE,0,0,1,1,0,0,0,0,0,0,0,1,0
1537,Ibimirim,PE,1,0,0,1,0,1,0,0,0,0,0,0,0
1538,Ibirajuba,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1539,Igarassu,PE,0,1,0,1,0,0,0,0,0,0,0,1,1
1540,Iguaracy,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1541,Inajá,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1542,Ingazeira,PE,0,0,0,0,0,1,0,0,0,0,0,1,1
1543,Ipojuca,PE,0,1,1,0,0,0,0,0,0,0,0,1,1
1544,Ipubi,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1545,Itacuruba,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1546,Itaíba,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1547,Ilha de Itamaracá,PE,1,0,1,0,0,0,0,0,0,0,0,1,0
1548,Itambé,PE,0,1,0,0,1,0,1,0,0,0,0,1,1
1549,Itapetim,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1550,Itapissuma,PE,0,0,0,0,0,0,0,0,0,0,0,1,0
1551,Itaquitinga,PE,0,0,0,0,1,1,0,0,0,0,0,0,0
1552,Jaboatão dos Guararapes,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1553,Jaqueira,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1554,Jataúba,PE,1,0,1,0,0,0,0,0,0,0,0,1,1
1555,Jatobá,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1556,João Alfredo,PE,0,1,0,0,0,0,0,0,0,0,0,1,1
1557,Joaquim Nabuco,PE,0,1,0,1,0,0,0,0,0,0,0,1,1
1558,Jucati,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1559,Jupi,PE,0,0,0,1,0,1,0,0,0,0,0,0,0
1560,Jurema,PE,0,0,0,0,1,1,0,0,0,0,0,0,0
1561,Lagoa do Carro,PE,1,0,1,0,0,0,0,0,0,0,0,1,0
1562,Lagoa de Itaenga,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1563,Lagoa do Ouro,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1564,Lagoa dos Gatos,PE,1,1,1,1,1,0,1,0,1,1,1,1,1
1565,Lagoa Grande,PE,1,0,0,1,1,1,0,0,0,0,0,0,0
1566,Lajedo,PE,1,0,1,1,0,0,0,0,0,0,0,1,1
1567,Limoeiro,PE,1,0,1,0,0,0,0,0,0,0,0,1,1
1568,Macaparana,PE,0,1,0,0,0,0,0,0,0,0,0,1,1
1569,Machados,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1570,Manari,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1571,Maraial,PE,1,0,1,1,0,0,0,0,0,0,0,1,1
1572,Mirandiba,PE,0,0,0,0,1,1,0,0,0,0,0,0,0
1573,Moreno,PE,1,1,1,1,0,0,0,0,1,1,1,1,1
1574,Nazaré da Mata,PE,0,0,0,0,0,1,0,0,0,0,0,1,1
1575,Olinda,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1576,Orobó,PE,0,0,0,0,0,1,0,0,0,0,0,1,1
1577,Orocó,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1578,Ouricuri,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1579,Palmares,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1580,Palmeirina,PE,1,1,1,1,1,1,0,0,1,0,1,1,1
1581,Panelas,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1582,Paranatama,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1583,Parnamirim,PE,0,0,1,0,0,1,0,0,0,0,0,0,0
1584,Passira,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1585,Paudalho,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1586,Paulista,PE,1,1,0,0,0,0,0,0,0,0,0,1,1
1587,Pedra,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1588,Pesqueira,PE,0,0,0,0,0,0,0,0,0,0,0,1,1
1589,Petrolândia,PE,0,0,1,0,0,1,0,0,0,0,0,0,0
1590,Petrolina,PE,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,Poção,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1592,Pombos,PE,0,0,0,0,0,1,0,0,0,0,0,1,1
1593,Primavera,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1594,Quipapá,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1595,Quixaba,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1596,Recife,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1597,Riacho das Almas,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1598,Ribeirão,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1599,Rio Formoso,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1600,Sairé,PE,0,0,1,1,0,0,0,0,0,0,0,1,1
1601,Salgadinho,PE,1,0,1,0,0,0,0,0,0,0,0,1,1
1602,Salgueiro,PE,1,0,1,0,1,1,1,0,0,0,0,1,1
1603,Saloá,PE,1,0,0,1,0,1,0,0,0,0,0,0,0
1604,Sanharó,PE,1,0,1,1,0,0,0,0,0,1,1,0,0
1605,Santa Cruz,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1606,Santa Cruz da Baixa Verde,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1607,Santa Cruz do Capibaribe,PE,1,0,1,1,0,0,0,0,0,1,1,0,0
1608,Santa Filomena,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1609,Santa Maria da Boa Vista,PE,0,0,0,0,0,0,0,0,0,0,0,1,0
1610,Santa Maria do Cambucá,PE,0,0,0,0,0,0,0,0,0,0,0,0,0
1611,Santa Terezinha,PE,0,0,0,0,1,1,0,0,0,0,0,0,0
1612,São Benedito do Sul,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1613,São Bento do Una,PE,0,0,0,1,0,1,0,0,0,0,1,1,1
1614,São Caitano,PE,0,0,0,0,0,0,0,0,0,0,0,0,0
1615,São João,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1616,São Joaquim do Monte,PE,1,0,0,0,0,1,0,0,0,0,0,0,0
1617,São José da Coroa Grande,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1618,São José do Belmonte,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1619,São José do Egito,PE,0,0,1,0,0,0,0,0,0,0,0,0,0
1620,São Lourenço da Mata,PE,1,1,1,1,0,0,0,0,0,0,0,1,1
1621,São Vicente Férrer,PE,0,0,0,0,0,0,1,0,0,0,0,1,1
1622,Serra Talhada,PE,1,0,1,1,0,0,0,0,0,0,0,0,0
1623,Serrita,PE,0,0,0,0,0,1,0,0,0,0,0,0,0
1624,Sertânia,PE,0,0,0,0,0,1,1,0,0,0,0,0,0
